Name,Architecture,Identifier,GovCloud
Minimal Ubuntu Pro 20.04 LTS,amd64,``prod-bhgby3sn457gk``,✓
Minimal Ubuntu Pro 20.04 LTS,arm64,``prod-lokd3cuzefl64``,✓
Ubuntu 22.04 LTS,amd64,``prod-lfutkwiaknxsk``,✓
Ubuntu 22.04 LTS,arm64,``prod-amd2rg3s3i7tc``,✓
Minimal Ubuntu 22.04 LTS,amd64,``prod-smq32swynllqw``,✓
Minimal Ubuntu 22.04 LTS,arm64,``prod-zvdejcufto6ps``,✓
Minimal Ubuntu Pro 22.04 LTS,amd64,``prod-ax3nm4x43w4za``,✓
Minimal Ubuntu Pro 22.04 LTS,arm64,``prod-rp5bzjdqcbrq2``,✓
Ubuntu 24.04 LTS,amd64,``prod-ib2w5aw4ynhey``,✓
Ubuntu 24.04 LTS,arm64,``prod-uovi4c667gqya``,✓
Minimal Ubuntu 24.04 LTS,amd64,``prod-u7oazfncxktmo``,✓
Minimal Ubuntu 24.04 LTS,arm64,``prod-umggziwlkgulc``,✓
Ubuntu 24.10,amd64,``prod-lumq7zoyb2r3i``,✓
Ubuntu 24.10,arm64,``prod-sfigyzrb2xfj6``,✓
Minimal Ubuntu 24.10,amd64,``prod-3qk5ebtq6jiee``,✓
Minimal Ubuntu 24.10,arm64,``prod-manibuby3qjsq``,✓
Ubuntu 25.04,amd64,``prod-gnnl6xcmpyhiy``,✓
Ubuntu 25.04,arm64,``prod-xfujpzcumd672``,✓
Minimal Ubuntu 25.04,amd64,``prod-bw2dyjqg7udoc``,✓
Minimal Ubuntu 25.04,arm64,``prod-5jxqt4zsjnxzg``,✓
Ubuntu Pro FIPS 16.04 LTS,amd64,``prod-hykkbajyverq4``,✓
Ubuntu Pro FIPS 18.04 LTS,amd64,``prod-7izp2xqnddwdc``,✓
Ubuntu Pro FIPS 20.04 LTS,amd64,``prod-k6fgbnayirmrc``,✓
Ubuntu Pro FIPS 20.04 LTS (FIPS with updates),amd64,``prod-ibsqi42w6rtey``,✓
Ubuntu Pro FIPS 22.04 LTS (FIPS with updates),amd64,``prod-y5kejmnu3wodg``,✓
Ubuntu Pro FIPS 22.04 LTS (FIPS with updates),arm64,``prod-rcuudwwonvpew``,✓
Ubuntu Pro 22.04 LTS with Real-time Kernel,arm64,``prod-ezodmjvranjew``,✓
Ubuntu 22.04 LTS for EKS 1.29,amd64,``prod-lg73jq6vy35h2``,✓
Ubuntu 22.04 LTS for EKS 1.29,arm64,``prod-htjgvopsb6wo2``,✓
